INDEX,MATERIA,DATA,VOTO,TIPO,MESE,Q,A
1,Italiano,2 Oct 20,5,Scritto,Oct,1,1
2,Inglese,14 Oct 20,7.85,Scritto,Oct,1,1
3,Scienze,19 Oct 20,4.85,Orale,Oct,1,1
4,Tedesco,23 Oct 20,8.5,Scritto,Oct,1,1
5,Informatica,3 Nov 20,5.15,Orale,Nov,1,1
6,Tedesco,10 Nov 20,7.5,Orale,Nov,1,1
7,Matematica,11 Nov 20,6.5,Orale,Nov,1,1
8,Geografia,13 Nov 20,6,Orale,Nov,1,1
9,Italiano,16 Nov 20,7.15,Orale,Nov,1,1
10,Storia,30 Nov 20,7.5,Orale,Nov,1,1
11,Economia aziendale,30 Nov 20,4.5,Orale,Nov,1,1
12,Informatica,1 Dec 20,5.5,Orale,Dec,1,1
13,Inglese,3 Dec 20,7.5,Orale,Dec,1,1
14,Geografia,4 Dec 20,6.15,Orale,Dec,1,1
15,Educazione fisica,9 Dec 20,4.5,Orale,Dec,1,1
16,Inglese,10 Dec 20,7.5,Scritto,Dec,1,1
17,Scienze,11 Dec 20,9,Orale,Dec,1,1
18,Matematica,15 Dec 20,6.5,Scritto,Dec,1,1
19,Educazione fisica,16 Dec 20,7.5,Orale,Dec,1,1
20,Diritto,16 Dec 20,6.85,Orale,Dec,1,1
21,Fisica,17 Dec 20,8,Scritto,Dec,1,1
22,Informatica,22 Dec 20,6,Orale,Dec,1,1
23,Italiano,7 Jan 21,7.15,Scritto,Jan,1,1
24,Inglese,8 Jan 21,7,Scritto,Jan,1,1
25,Geografia,15 Jan 21,4,Orale,Jan,1,1
26,Storia,18 Jan 21,6.15,Orale,Jan,1,1
27,Matematica,18 Jan 21,5,Scritto,Jan,1,1
28,Economia aziendale,18 Jan 21,4.85,Scritto,Jan,1,1
29,Educazione fisica,20 Jan 21,7.5,Orale,Jan,1,1
30,Storia,21 Jan 21,4.5,Orale,Jan,1,1
31,Italiano,27 Jan 21,6,Orale,Jan,1,1
32,Inglese,28 Jan 21,10,Orale,Jan,1,1
33,Fisica,28 Jan 21,7.15,Scritto,Jan,1,1
34,Scienze,29 Jan 21,5,Orale,Jan,1,1
35,Educazione civica,29 Jan 21,8,Orale,Jan,1,1
36,Tedesco,9 Feb 21,5.5,Scritto,Feb,2,1
37,Italiano,18 Feb 21,4,Scritto,Feb,2,1
38,Inglese,18 Feb 21,6.5,Scritto,Feb,2,1
39,Inglese,19 Feb 21,6.5,Orale,Feb,2,1
40,Matematica,1 Mar 21,5.5,Scritto,Mar,2,1
41,Storia,4 Mar 21,8,Orale,Mar,2,1
42,Geografia,5 Mar 21,10,Orale,Mar,2,1
43,Scienze,9 Mar 21,7,Scritto,Mar,2,1
44,Scienze,12 Mar 21,7,Scritto,Mar,2,1
45,Italiano,18 Mar 21,6.5,Orale,Mar,2,1
46,Scienze,19 Mar 21,5.5,Scritto,Mar,2,1
47,Geografia,19 Mar 21,7.5,Orale,Mar,2,1
48,Informatica,23 Mar 21,8,Orale,Mar,2,1
